GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Melrose South-Mott Haven North,BX34,Bronx,36047,558,0.01547979,0.98452021,21200,12248,1198,11006,0.097811888,0.898595689,650,317469,0.003350569,0.006424688,0.086752968,0.096528224,43244,628,0.01,0.99,24693,14293,1176,13117,0.08,0.92,866,311537,0,0.01,0.05,0.06,0.2,0.13,-0.06,0,0.16,0.17,-0.02,0.19,-0.16,0.02,0.33,-0.02,0.12,0.28,-0.45,-0.05
Middle Village,QN21,Queens,38291,29631,0.773837194,0.226162806,63877,14894,9295,5233,0.624076809,0.351349537,1232,582563,0.267394801,0.115358501,0.182524406,0.565277707,38033,26824,0.71,0.29,72118,14631,8725,5906,0.6,0.4,1393,588326,0.25,0.13,0.09,0.47,-0.01,-0.09,-0.09,0.3,0.13,-0.02,-0.06,0.13,-0.04,0.15,0.13,0.01,-0.07,0.09,-0.48,-0.46
Midtown-Midtown South,MN17,Manhattan,26777,18673,0.697352205,0.302647795,99901,15215,3414,11452,0.224383832,0.752678278,1968,877759,0.240764323,0.207310412,0.289170899,0.737245633,27811,17344,0.62,0.38,116456,15507,3326,12181,0.21,0.79,2497,1032709,0.22,0.24,0.17,0.62,0.04,-0.07,-0.11,0.24,0.17,0.02,-0.03,0.06,-0.04,0.04,0.27,0.18,-0.09,0.14,-0.41,-0.37
Midwood,BK43,Brooklyn,52093,40818,0.783560171,0.216439829,46377,18590,6457,11606,0.347337278,0.624314147,1070,631070,0.270780138,0.070689435,0.2000487,0.541518273,53377,39881,0.75,0.25,46598,18697,6069,12628,0.32,0.68,1268,709281,0.26,0.06,0.11,0.44,0.02,-0.02,-0.05,0.17,0,0.01,-0.06,0.09,-0.07,0.08,0.19,0.12,-0.03,-0.11,-0.43,-0.57
Morningside Heights,MN09,Manhattan,50994,24737,0.485096286,0.514903714,49509,20160,3794,15956,0.188194444,0.791468254,1227,630552,0.166861238,0.078683922,0.19986156,0.44540672,53707,25978,0.48,0.52,63563,19319,3950,15369,0.2,0.8,1533,689884,0.17,0.1,0.11,0.39,0.05,0.05,0,0,0.28,-0.04,0.04,-0.04,0.09,0.01,0.25,0.09,0.02,0.33,-0.44,-0.1
Morrisania-Melrose,BX35,Bronx,32938,282,0.00856154,0.99143846,23482,11519,1225,10143,0.106346037,0.880545186,756,347453,0.000941778,0.012249534,0.097585392,0.110776705,39939,589,0.01,0.99,27931,13736,1112,12624,0.08,0.92,932,369582,0,0.02,0.06,0.08,0.21,1.09,0.72,-0.01,0.19,0.19,-0.09,0.24,-0.24,0.04,0.23,0.06,3.06,0.33,-0.41,2.98
Mott Haven-Port Morris,BX39,Bronx,51670,745,0.014418425,0.985581575,18683,17160,755,16183,0.043997669,0.943065268,563,378225,0.002981023,0,0.108702501,0.111683524,55080,836,0.02,0.98,21469,18480,1065,17415,0.06,0.94,705,372119,0,0,0.06,0.06,0.07,0.12,0.05,0,0.15,0.08,0.41,0.08,0.31,0,0.25,-0.02,0.33,0,-0.47,-0.13
Mount Hope,BX41,Bronx,51628,572,0.011079259,0.988920741,27210,16467,536,15524,0.032549948,0.942733953,935,376315,0.001818396,0.021765321,0.108012468,0.131596185,52973,809,0.02,0.98,26762,17135,609,16526,0.04,0.96,1119,344921,0,0.01,0.05,0.07,0.03,0.41,0.38,0,-0.02,0.04,0.14,0.06,0.09,0.02,0.2,-0.08,1.21,-0.39,-0.51,0.31
Murray Hill,QN51,Queens,51358,15159,0.295163363,0.704836637,57511,17949,8370,9153,0.466321244,0.509944844,1267,609128,0.100730556,0.099109171,0.192121636,0.391961363,52659,12939,0.25,0.75,52762,17715,7914,9801,0.45,0.55,1413,648431,0.09,0.08,0.1,0.27,0.03,-0.15,-0.17,0.07,-0.08,-0.01,-0.05,0.07,-0.04,0.09,0.12,0.06,-0.15,-0.21,-0.46,-0.82
Murray Hill-Kips Bay,MN20,Manhattan,51180,35424,0.692145369,0.307854631,89247,27442,7278,19686,0.265213906,0.717367539,1974,672889,0.238951411,0.180115884,0.215156796,0.634224091,47774,29280,0.61,0.39,95701,26059,7442,18617,0.29,0.71,2299,682795,0.22,0.18,0.11,0.51,-0.07,-0.17,-0.11,0.26,0.07,-0.05,0.02,-0.05,0.08,0,0.16,0.01,-0.1,0.02,-0.49,-0.56
